id,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,orig_balance_error,dest_balance_error,dest_balance_stayed_zero,orig_balance_drained,is_transfer,predicted_fraud,pattern_type
33,10000000.0,34953893.08,24953893.08,0.0,0.0,0.0,10000000.0,1,0,1,1,Account Drain + Zero Destination
34,115085.31,115085.31,0.0,999400.25,1114485.56,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
35,131050.76,131050.76,0.0,0.0,0.0,0.0,131050.76,1,1,1,1,Account Drain + Zero Destination
36,253793.28,253793.28,0.0,0.0,0.0,0.0,253793.28,1,1,1,1,Account Drain + Zero Destination
37,167715.53,167715.53,0.0,0.0,0.0,0.0,167715.53,1,1,1,1,Account Drain + Zero Destination
38,9593838.63,9593838.63,0.0,0.0,9593838.63,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
39,281087.01,281087.01,0.0,0.0,0.0,0.0,281087.01,1,1,1,1,Account Drain + Zero Destination
40,197226.65,197226.65,0.0,0.0,197226.65,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
41,676913.69,676913.69,0.0,2202695.62,2879609.32,0.0,-0.0099999997764825,0,1,0,1,Account Drain + Balance Mismatch
42,460434.46,460434.46,0.0,1046172.48,1506606.94,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
43,561149.9,561149.9,0.0,0.0,561149.9,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
44,7428844.46,7428844.46,0.0,0.0,7428844.46,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
45,311257.22,0.0,0.0,0.0,311257.22,-311257.22,0.0,0,1,0,1,Account Drain + Balance Mismatch
46,1108140.19,1108140.19,0.0,0.0,0.0,0.0,1108140.19,1,1,1,1,Account Drain + Zero Destination
47,95105.01,95105.01,0.0,0.0,0.0,0.0,95105.01,1,1,1,1,Account Drain + Zero Destination
48,492003.04,492003.04,0.0,0.0,0.0,0.0,492003.04,1,1,1,1,Account Drain + Zero Destination
49,398041.98,398041.98,0.0,422191.28,820233.26,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
50,668273.94,668273.94,0.0,619362.81,1287636.75,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
51,1665334.68,1665334.68,0.0,0.0,0.0,0.0,1665334.68,1,1,1,1,Account Drain + Zero Destination
52,846589.73,846589.73,0.0,0.0,0.0,0.0,846589.73,1,1,1,1,Account Drain + Zero Destination
53,1049586.54,1049586.54,0.0,8366.77,1057953.31,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
54,936976.86,936976.86,0.0,0.0,936976.86,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
55,0.0,0.0,0.0,267522.87,267522.87,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
56,14343.03,14343.03,0.0,0.0,0.0,0.0,14343.03,1,1,1,1,Account Drain + Zero Destination
57,718350.64,718350.64,0.0,0.0,718350.64,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
58,2230432.56,2230432.56,0.0,0.0,2230432.56,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
59,10000000.0,10000000.0,0.0,198226.59,10198226.59,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
60,1168274.14,1168274.14,0.0,0.0,0.0,0.0,1168274.14,1,1,1,1,Account Drain + Zero Destination
61,9299230.13,9299230.13,0.0,0.0,0.0,0.0,9299230.13,1,1,1,1,Account Drain + Zero Destination
62,1367340.03,1367340.03,0.0,296833.6,1664173.63,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
63,1270564.34,1270564.34,0.0,0.0,1270564.34,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
64,56888.23,56888.23,0.0,0.0,56888.23,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
65,120385.1,120385.1,0.0,0.0,0.0,0.0,120385.1,1,1,1,1,Account Drain + Zero Destination
66,63210.91,63210.91,0.0,6697.1,69908.01,0.0,1.4551915228366852e-11,0,1,0,1,Account Drain + Balance Mismatch
67,26654.46,26654.46,0.0,0.0,0.0,0.0,26654.46,1,1,1,1,Account Drain + Zero Destination
68,369186.87,369186.87,0.0,36224.11,405410.97,0.0,0.0100000000093132,0,1,0,1,Account Drain + Balance Mismatch
69,79446.06,79446.06,0.0,0.0,79446.06,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
70,283339.53,0.0,0.0,0.0,283339.53,-283339.53,0.0,0,1,0,1,Account Drain + Balance Mismatch
71,871893.15,871893.15,0.0,0.0,0.0,0.0,871893.15,1,1,1,1,Account Drain + Zero Destination
72,554522.67,554522.67,0.0,0.0,0.0,0.0,554522.67,1,1,1,1,Account Drain + Zero Destination
73,2137134.15,2137134.15,0.0,0.0,0.0,0.0,2137134.15,1,1,1,1,Account Drain + Zero Destination
74,7567170.36,7567170.36,0.0,0.0,0.0,0.0,7567170.36,1,1,1,1,Account Drain + Zero Destination
75,3947541.37,3947541.37,0.0,226201.44,4173742.81,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
76,266546.68,266546.68,0.0,0.0,0.0,0.0,266546.68,1,1,1,1,Account Drain + Zero Destination
77,2393539.65,2393539.65,0.0,5157128.07,7550667.73,0.0,-0.0099999997764825,0,1,0,1,Account Drain + Balance Mismatch
78,5429153.98,5429153.98,0.0,0.0,5429153.98,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
79,10000000.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
80,85354.69,85354.69,0.0,0.0,0.0,0.0,85354.69,1,1,1,1,Account Drain + Zero Destination
81,176007.37,176007.37,0.0,0.0,0.0,0.0,176007.37,1,1,1,1,Account Drain + Zero Destination
82,171200.54,171200.54,0.0,76266.33,247466.87,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
83,2554662.97,2554662.97,0.0,2399641.18,4954304.15,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
84,162192.78,162192.78,0.0,0.0,0.0,0.0,162192.78,1,1,1,1,Account Drain + Zero Destination
85,128718.59,128718.59,0.0,3511282.2,3640000.79,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
86,10000000.0,13695429.98,3695429.98,0.0,0.0,4.656612873077393e-10,10000000.0,1,0,1,1,Account Drain + Zero Destination
87,25761.04,25761.04,0.0,896426.99,922188.03,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
88,1589763.63,1589763.63,0.0,0.0,0.0,0.0,1589763.63,1,1,1,1,Account Drain + Zero Destination
89,13774.15,13774.15,0.0,0.0,0.0,0.0,13774.15,1,1,1,1,Account Drain + Zero Destination
90,881811.11,881811.11,0.0,141736.75,1023547.85,0.0,0.0100000000093132,0,1,0,1,Account Drain + Balance Mismatch
91,358440.67,358440.67,0.0,107972.49,466413.16,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
92,16614.82,16614.82,0.0,904409.29,921024.11,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
93,1158396.74,1158396.74,0.0,0.0,0.0,0.0,1158396.74,1,1,1,1,Account Drain + Zero Destination
94,1976666.45,1976666.45,0.0,0.0,0.0,0.0,1976666.45,1,1,1,1,Account Drain + Zero Destination
95,99316.36,99316.36,0.0,0.0,0.0,0.0,99316.36,1,1,1,1,Account Drain + Zero Destination
96,5926745.36,5926745.36,0.0,2380392.38,8307137.74,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
97,2460110.25,2460110.25,0.0,0.0,0.0,0.0,2460110.25,1,1,1,1,Account Drain + Zero Destination
98,1539474.57,1539474.57,0.0,137245.4,1676719.97,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
99,963966.56,963966.56,0.0,0.0,0.0,0.0,963966.56,1,1,1,1,Account Drain + Zero Destination
100,466580.69,466580.69,0.0,775534.24,1242114.93,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
101,145982.36,145982.36,0.0,800.0,0.0,0.0,146782.36,0,1,0,1,Account Drain + Balance Mismatch
102,81867.07,81867.07,0.0,135117.98,216985.05,0.0,2.9103830456733704e-11,0,1,0,1,Account Drain + Balance Mismatch
103,403.56,403.56,0.0,1124708.32,1125111.88,0.0,2.3283064365386963e-10,0,1,0,1,Account Drain + Balance Mismatch
104,2925111.67,2925111.67,0.0,0.0,0.0,0.0,2925111.67,1,1,1,1,Account Drain + Zero Destination
105,232185.56,232185.56,0.0,6053983.22,6286168.78,0.0,-9.313225746154783e-10,0,1,0,1,Account Drain + Balance Mismatch
106,9065.44,9065.44,0.0,757856.9,766922.34,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
107,1123561.68,1123561.68,0.0,0.0,0.0,0.0,1123561.68,1,1,1,1,Account Drain + Zero Destination
108,7108914.22,7108914.22,0.0,0.0,7108914.22,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
109,86002.09,86002.09,0.0,0.0,86002.09,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
110,1516823.73,1516823.73,0.0,386329.46,1903153.19,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
111,50577.26,50577.26,0.0,9581426.29,9632003.55,0.0,-1.862645149230957e-09,0,1,0,1,Account Drain + Balance Mismatch
112,655676.97,655676.97,0.0,0.0,0.0,0.0,655676.97,1,1,1,1,Account Drain + Zero Destination
113,87999.25,87999.25,0.0,0.0,0.0,0.0,87999.25,1,1,1,1,Account Drain + Zero Destination
114,9887819.06,9887819.06,0.0,801913.95,10165200.11,0.0,524532.9000000004,0,1,0,1,Account Drain + Balance Mismatch
115,79938.47,79938.47,0.0,0.0,79938.47,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
116,203280.85,203280.85,0.0,0.0,0.0,0.0,203280.85,1,1,1,1,Account Drain + Zero Destination
117,167743.93,167743.93,0.0,219716.29,387460.22,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
118,204675.48,204675.48,0.0,0.0,0.0,0.0,204675.48,1,1,1,1,Account Drain + Zero Destination
119,357824.01,357824.01,0.0,158077.81,515901.82,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
120,95105.01,95105.01,0.0,1779246.39,1874351.4,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
121,5689516.13,5689516.13,0.0,0.0,0.0,0.0,5689516.13,1,1,1,1,Account Drain + Zero Destination
122,17216.14,17216.14,0.0,0.0,0.0,0.0,17216.14,1,1,1,1,Account Drain + Zero Destination
123,112835.43,112835.43,0.0,0.0,0.0,0.0,112835.43,1,1,1,1,Account Drain + Zero Destination
124,54725.54,54725.54,0.0,0.0,0.0,0.0,54725.54,1,1,1,1,Account Drain + Zero Destination
125,621080.67,621080.67,0.0,0.0,0.0,0.0,621080.67,1,1,1,1,Account Drain + Zero Destination
126,407275.43,407275.43,0.0,0.0,0.0,0.0,407275.43,1,1,1,1,Account Drain + Zero Destination
127,1027963.96,1027963.96,0.0,0.0,0.0,0.0,1027963.96,1,1,1,1,Account Drain + Zero Destination
128,216534.86,216534.86,0.0,10068344.73,10284879.59,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
129,37100.29,37100.29,0.0,0.0,0.0,0.0,37100.29,1,1,1,1,Account Drain + Zero Destination
130,22140.87,22140.87,0.0,25511.14,47652.0,0.0,0.0099999999947613,0,1,0,1,Account Drain + Balance Mismatch
131,188731.21,188731.21,0.0,591154.11,779885.32,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
132,345802.34,345802.34,0.0,0.0,345802.34,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
133,398157.05,398157.05,0.0,0.0,0.0,0.0,398157.05,1,1,1,1,Account Drain + Zero Destination
134,94431.98,94431.98,0.0,0.0,0.0,0.0,94431.98,1,1,1,1,Account Drain + Zero Destination
135,6295010.28,6295010.28,0.0,0.0,0.0,0.0,6295010.28,1,1,1,1,Account Drain + Zero Destination
136,1153156.0,1153156.0,0.0,0.0,1153156.0,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
137,3401641.0,3401641.0,0.0,0.0,0.0,0.0,3401641.0,1,1,1,1,Account Drain + Zero Destination
138,180967.56,180967.56,0.0,0.0,0.0,0.0,180967.56,1,1,1,1,Account Drain + Zero Destination
139,385050.58,385050.58,0.0,0.0,0.0,0.0,385050.58,1,1,1,1,Account Drain + Zero Destination
140,96474.91,96474.91,0.0,0.0,96474.91,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
141,534255.94,534255.94,0.0,0.0,0.0,0.0,534255.94,1,1,1,1,Account Drain + Zero Destination
142,1889351.63,1889351.63,0.0,12129494.24,14018845.86,0.0,0.0100000016391277,0,1,0,1,Account Drain + Balance Mismatch
143,46190.9,46190.9,0.0,0.0,46190.9,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
144,242296.17,242296.17,0.0,0.0,242296.17,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
145,948288.3,948288.3,0.0,2189773.93,3138062.23,0.0,4.656612873077393e-10,0,1,0,1,Account Drain + Balance Mismatch
146,548269.98,548269.98,0.0,0.0,0.0,0.0,548269.98,1,1,1,1,Account Drain + Zero Destination
147,1608571.02,1608571.02,0.0,194993.54,1803564.56,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
148,179725.06,179725.06,0.0,131709.81,311434.88,0.0,-0.0100000000093132,0,1,0,1,Account Drain + Balance Mismatch
149,763170.76,763170.76,0.0,452739.47,1215910.23,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
150,66448.19,66448.19,0.0,5042513.19,5108961.38,0.0,9.313225746154783e-10,0,1,0,1,Account Drain + Balance Mismatch
151,367980.99,367980.99,0.0,0.0,0.0,0.0,367980.99,1,1,1,1,Account Drain + Zero Destination
152,590229.26,590229.26,0.0,236890.65,827119.91,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
153,498183.25,498183.25,0.0,0.0,0.0,0.0,498183.25,1,1,1,1,Account Drain + Zero Destination
154,244068.01,244068.01,0.0,0.0,338538.16,0.0,-94470.14999999997,0,1,0,1,Account Drain + Balance Mismatch
155,249791.3,249791.3,0.0,0.0,0.0,0.0,249791.3,1,1,1,1,Account Drain + Zero Destination
156,1058602.68,1058602.68,0.0,0.0,0.0,0.0,1058602.68,1,1,1,1,Account Drain + Zero Destination
157,665676.43,665676.43,0.0,0.0,665676.43,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
158,161016.65,161016.65,0.0,92806.24,253822.89,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
159,1820864.64,1820864.64,0.0,0.0,0.0,0.0,1820864.64,1,1,1,1,Account Drain + Zero Destination
160,130668.56,130668.56,0.0,2403740.71,2534409.27,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
161,171623.1,171623.1,0.0,76632.01,248255.12,0.0,-0.0100000000093132,0,1,0,1,Account Drain + Balance Mismatch
162,92145.4,92145.4,0.0,0.0,0.0,0.0,92145.4,1,1,1,1,Account Drain + Zero Destination
163,10000000.0,10390763.24,390763.24,0.0,0.0,2.3283064365386963e-10,10000000.0,1,0,1,1,Account Drain + Zero Destination
164,405400.26,405400.26,0.0,707011.54,1112411.81,0.0,-0.0100000000093132,0,1,0,1,Account Drain + Balance Mismatch
165,998086.61,998086.61,0.0,440777.77,1438864.38,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
166,1040303.44,1040303.44,0.0,0.0,0.0,0.0,1040303.44,1,1,1,1,Account Drain + Zero Destination
167,114169.66,114169.66,0.0,0.0,0.0,0.0,114169.66,1,1,1,1,Account Drain + Zero Destination
168,60891.94,60891.94,0.0,0.0,0.0,0.0,60891.94,1,1,1,1,Account Drain + Zero Destination
169,489514.32,489514.32,0.0,0.0,0.0,0.0,489514.32,1,1,1,1,Account Drain + Zero Destination
170,333185.46,0.0,0.0,0.0,333185.46,-333185.46,0.0,0,1,0,1,Account Drain + Balance Mismatch
171,1153156.0,1153156.0,0.0,0.0,0.0,0.0,1153156.0,1,1,1,1,Account Drain + Zero Destination
172,489767.32,489767.32,0.0,0.0,0.0,0.0,489767.32,1,1,1,1,Account Drain + Zero Destination
173,1191183.65,1191183.65,0.0,0.0,1191183.65,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
174,452261.67,452261.67,0.0,0.0,0.0,0.0,452261.67,1,1,1,1,Account Drain + Zero Destination
175,119143.75,119143.75,0.0,0.0,0.0,0.0,119143.75,1,1,1,1,Account Drain + Zero Destination
176,171456.83,171456.83,0.0,0.0,0.0,0.0,171456.83,1,1,1,1,Account Drain + Zero Destination
177,108779.53,108779.53,0.0,0.0,0.0,0.0,108779.53,1,1,1,1,Account Drain + Zero Destination
178,325732.34,325732.34,0.0,3734511.97,4060244.31,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
179,343972.5,343972.5,0.0,0.0,343972.5,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
180,398041.98,398041.98,0.0,0.0,0.0,0.0,398041.98,1,1,1,1,Account Drain + Zero Destination
181,3641525.7,3641525.7,0.0,599102.39,4240628.09,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
182,3580542.06,3580542.06,0.0,0.0,0.0,0.0,3580542.06,1,1,1,1,Account Drain + Zero Destination
183,9421856.87,9421856.87,0.0,0.0,0.0,0.0,9421856.87,1,1,1,1,Account Drain + Zero Destination
184,10000000.0,10000000.0,0.0,2265793.36,12265793.36,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
185,1033878.67,1033878.67,0.0,0.0,0.0,0.0,1033878.67,1,1,1,1,Account Drain + Zero Destination
186,2598276.05,2598276.05,0.0,0.0,0.0,0.0,2598276.05,1,1,1,1,Account Drain + Zero Destination
187,416284.7,416284.7,0.0,0.0,0.0,0.0,416284.7,1,1,1,1,Account Drain + Zero Destination
188,1950373.54,1950373.54,0.0,0.0,0.0,0.0,1950373.54,1,1,1,1,Account Drain + Zero Destination
189,1090527.71,1090527.71,0.0,0.0,0.0,0.0,1090527.71,1,1,1,1,Account Drain + Zero Destination
190,619836.33,619836.33,0.0,0.0,0.0,0.0,619836.33,1,1,1,1,Account Drain + Zero Destination
191,71554.74,71554.74,0.0,527488.43,599043.17,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
192,148680.12,148680.12,0.0,0.0,148680.12,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
193,5363594.86,5363594.86,0.0,134472.24,5498067.11,0.0,-0.0099999997764825,0,1,0,1,Account Drain + Balance Mismatch
194,306213.63,306213.63,0.0,0.0,0.0,0.0,306213.63,1,1,1,1,Account Drain + Zero Destination
195,175313.96,175313.96,0.0,0.0,0.0,0.0,175313.96,1,1,1,1,Account Drain + Zero Destination
196,103368.58,103368.58,0.0,0.0,0.0,0.0,103368.58,1,1,1,1,Account Drain + Zero Destination
197,95267.81,95267.81,0.0,0.0,95267.81,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
198,128718.59,128718.59,0.0,0.0,0.0,0.0,128718.59,1,1,1,1,Account Drain + Zero Destination
199,2056779.24,2056779.24,0.0,191822.43,2248601.67,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
200,10358.27,10358.27,0.0,0.0,10358.27,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
201,8594065.09,8594065.09,0.0,0.0,0.0,0.0,8594065.09,1,1,1,1,Account Drain + Zero Destination
202,37357.32,37357.32,0.0,0.0,0.0,0.0,37357.32,1,1,1,1,Account Drain + Zero Destination
203,154196.49,154196.49,0.0,0.0,0.0,0.0,154196.49,1,1,1,1,Account Drain + Zero Destination
204,316877.85,316877.85,0.0,0.0,0.0,0.0,316877.85,1,1,1,1,Account Drain + Zero Destination
205,175972.28,175972.28,0.0,0.0,0.0,0.0,175972.28,1,1,1,1,Account Drain + Zero Destination
206,376059.27,376059.27,0.0,0.0,0.0,0.0,376059.27,1,1,1,1,Account Drain + Zero Destination
207,460635.82,460635.82,0.0,544728.69,1005364.51,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
208,3379009.86,3379009.86,0.0,1760983.92,5139993.78,0.0,-9.313225746154783e-10,0,1,0,1,Account Drain + Balance Mismatch
209,6262505.91,6262505.91,0.0,0.0,0.0,0.0,6262505.91,1,1,1,1,Account Drain + Zero Destination
210,8536151.16,8536151.16,0.0,339032.24,8875183.4,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
211,10000000.0,59585040.37,49585040.37,0.0,0.0,0.0,10000000.0,1,0,1,1,Account Drain + Zero Destination
212,1191399.72,1191399.72,0.0,0.0,0.0,0.0,1191399.72,1,1,1,1,Account Drain + Zero Destination
213,1179162.08,1179162.08,0.0,29723.31,1208885.39,0.0,2.3283064365386963e-10,0,1,0,1,Account Drain + Balance Mismatch
214,762782.66,762782.66,0.0,0.0,0.0,0.0,762782.66,1,1,1,1,Account Drain + Zero Destination
215,2426076.89,2426076.89,0.0,44160.09,2470236.98,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
216,150406.91,150406.91,0.0,1903051.04,2053457.95,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
217,49434.25,49434.25,0.0,0.0,0.0,0.0,49434.25,1,1,1,1,Account Drain + Zero Destination
218,263401.81,263401.81,0.0,0.0,0.0,0.0,263401.81,1,1,1,1,Account Drain + Zero Destination
219,92641.52,92641.52,0.0,899062.84,991704.37,0.0,-0.0100000000093132,0,1,0,1,Account Drain + Balance Mismatch
220,175203.45,175203.45,0.0,0.0,0.0,0.0,175203.45,1,1,1,1,Account Drain + Zero Destination
221,303879.45,0.0,0.0,0.0,303879.45,-303879.45,0.0,0,1,0,1,Account Drain + Balance Mismatch
222,21511.22,21511.22,0.0,0.0,21511.22,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
223,75480.15,75480.15,0.0,0.0,0.0,0.0,75480.15,1,1,1,1,Account Drain + Zero Destination
224,338293.14,338293.14,0.0,0.0,0.0,0.0,338293.14,1,1,1,1,Account Drain + Zero Destination
225,9065.34,9065.34,0.0,0.0,0.0,0.0,9065.34,1,1,1,1,Account Drain + Zero Destination
226,661558.27,661558.27,0.0,0.0,0.0,0.0,661558.27,1,1,1,1,Account Drain + Zero Destination
227,70125.14,70125.14,0.0,7303214.4,7373339.54,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
228,739856.92,739856.92,0.0,0.0,0.0,0.0,739856.92,1,1,1,1,Account Drain + Zero Destination
229,10000000.0,10000000.0,0.0,879169.43,10879169.43,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
230,145482.09,145482.09,0.0,1686412.37,1831894.45,0.0,0.0100000002421438,0,1,0,1,Account Drain + Balance Mismatch
231,98086.09,98086.09,0.0,0.0,98086.09,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
232,136562.78,136562.78,0.0,21100.34,157663.12,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
233,309061.5,309061.5,0.0,218006.55,527068.05,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
234,119443.3,119443.3,0.0,0.0,0.0,0.0,119443.3,1,1,1,1,Account Drain + Zero Destination
235,210952.24,210952.24,0.0,0.0,0.0,0.0,210952.24,1,1,1,1,Account Drain + Zero Destination
236,62318.91,62318.91,0.0,0.0,0.0,0.0,62318.91,1,1,1,1,Account Drain + Zero Destination
237,227349.18,227349.18,0.0,0.0,0.0,0.0,227349.18,1,1,1,1,Account Drain + Zero Destination
238,5591414.49,5591414.49,0.0,686963.07,6278377.55,0.0,0.0100000007078051,0,1,0,1,Account Drain + Balance Mismatch
239,106596.14,106596.14,0.0,0.0,106596.14,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
